รหัสสถานี,สถานี, มกราคม , กุมภาพันธ์ , มีนาคม , เมษายน , พฤษภาคม , มิถุนายน , กรกฎาคม , สิงหาคม , กันยายน , ตุลาคม , พฤศจิกายน , ธันวาคม ,รวม,BTS/MRT
BL01,ท่าพระ,"72,576","90,788","122,472","69,264","49,333","61,615","42,496","34,381","50,208","67,910","87,214","96,523","844,780",MRT
BL33,บางไผ่,"21,743","29,912","39,116","21,782","16,359","19,897","14,311","11,821","16,398","22,244","27,416","30,573","271,572",MRT
BL34,บางหว้า,"111,648","148,817","203,636","108,380","68,790","89,829","58,793","46,255","74,220","107,217","141,213","159,318","1,318,116",MRT
BL35,เพชรเกษม 48 ,"30,938","37,658","50,021","29,103","21,747","26,169","19,052","15,530","22,796","30,462","38,226","43,055","364,757",MRT
BL36,ภาษีเจริญ ,"64,840","84,281","102,860","62,316","40,999","52,561","32,127","21,279","49,203","71,821","86,779","99,979","769,045",MRT
BL37,บางแค ,"51,357","64,379","75,955","47,395","35,688","43,895","30,968","25,463","38,129","51,022","62,572","69,628","596,451",MRT
BL38,หลักสอง,"162,826","217,713","287,238","165,164","106,288","136,615","90,733","73,146","115,071","165,337","216,452","242,156","1,978,739",MRT
BL02,จรัญฯ 13,"31,977","40,701","54,961","31,613","23,772","29,158","20,779","17,875","24,519","31,633","40,167","44,960","392,115",MRT
BL03,ไฟฉาย,"30,717","37,805","50,090","29,091","21,226","25,840","18,720","15,944","22,057","29,009","38,176","42,135","360,810",MRT
BL04,บางขุนนนท์,"42,851","56,586","76,987","42,761","29,719","38,361","27,608","23,402","32,721","45,272","58,129","64,829","539,226",MRT
BL05,บางยี่ขัน,"53,318","72,487","101,348","54,269","36,813","47,286","31,696","25,461","39,734","55,020","73,602","84,286","675,320",MRT
BL06,สิรินธร,"34,243","46,808","65,698","33,856","23,991","29,727","22,538","18,936","26,492","34,610","46,548","52,451","435,898",MRT
BL07,บางพลัด,"19,283","24,754","33,014","19,361","13,693","17,580","12,941","10,815","15,424","19,957","25,515","28,623","240,960",MRT
BL08,บางอ้อ,"36,581","45,710","64,485","35,876","24,523","30,733","22,821","19,499","26,485","35,353","47,660","54,405","444,131",MRT
BL09,บางโพ,"38,227","52,623","72,328","37,579","25,102","31,779","21,325","17,254","26,275","35,171","47,028","54,157","458,848",MRT
N24,คูคต,"113,513","147,946","207,297","125,727","89,523",118211,"85,785","74,471","107,801","146,758","181,313","200,704","1,599,049",BTS
N23,แยก คปอ.,"80,495","111,262","170,137","97,807","66,406","89,021","60,998","52,483","78,927","108,455","142,905","167,065","1,225,961",BTS
N22,พิพิธภัณฑ์กองทัพอากาศ,"12,410","20,543","27,362","13,130","8,635","11,516","7,739","6,492","9,519","13,602","18,904","21,682","171,534",BTS
N21,โรงพยาบาลภูมิพล,"27,899","32,614","47,815","26,331","18,169","24,250","17,893","15,661","20,853","24,803","31,138","34,318","321,744",BTS
N20,สะพานใหม่,"139,605","180,531","238,786","147,180","101,879","122,879","95,132","91,541","119,494","153,217","183,522","208,316","1,782,082",BTS
N19,สายหยุด,"88,952","117,358","160,987","94,472","69,061","87,559","65,425","55,759","78,259","102,421","130,635","146,230","1,197,118",BTS
N18,พหลโยธิน 59,"44,065","55,227","75,668","46,216","33,314","40,331","30,439","26,282","36,857","47,779","57,396","66,769","560,343",BTS
N17,วัดพระศรีมหาธาตุ,"108,769","152,864","201,754","104,941","67,111","88,163","61,577","52,638","77,563","106,155","137,908","161,322","1,320,765",BTS
N16,กรมทหารราบที่ 11,"76,370","101,826","138,971","75,289","50,571","66,632","46,559","41,452","56,731","71,712","89,513","103,284","918,910",BTS
N15,ศรีปทุม,"48,910","65,870","117,963","51,678","31,998","41,121","30,111","24,173","36,149","45,335","57,622","68,328","619,258",BTS
N14,กรมป่าไม้,"53,317","76,558","107,327","52,010","32,297","41,618","28,846","24,211","36,575","46,607","61,482","83,956","644,804",BTS
N13,มหาวิทยาลัยเกษตร,"128,558","178,982","267,308","126,599","71,366","105,441","70,870","54,517","88,763","117,830","187,070","211,998","1,609,302",BTS
N12,เสนานิคม,"199,384","249,986","344,974","188,786","120,764","154,539","103,628","85,267","129,542","174,943","225,347","272,153","2,249,313",BTS
N11,รัชโยธิน,"159,408","197,416","292,499","159,472","90,131","116,876","74,336","56,641","96,568","148,040","203,420","255,629","1,850,436",BTS
N10,พหลโยธิน 24,"64,499","86,579","117,828","61,946","41,302","51,087","35,848","31,508","44,121","57,969","75,609","86,104","754,400",BTS
